cellular root,domain,clade,kingdom,subkingdom,phylum,subphylum,class,no rank,order,family,genus,species,input_species,names_match,subclass,suborder,subfamily,species group,tribe,infraclass,cohort,infraorder,superfamily
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,unclassified Cantharellales,Cantharellales,,,Cantharellales sp.,Cantharellales sp. MUCL 035158 v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes incertae sedis,Cantharellales,Hydnaceae,Cantharellus,Cantharellus anzutake,Cantharellus anzutake C23 v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,,Ceraceosorales,Ceraceosoraceae,Ceraceosorus,Ceraceosorus bombacis,Ceraceosorus bombacis ATCC 22867,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,,Ceraceosorales,Ceraceosoraceae,Ceraceosorus,Ceraceosorus guamensis,Ceraceosorus guamensis MCA 4658 v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,unclassified Ceratobasidium,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp.,Ceratobasidium sp 535-2 v1.0,No,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,unclassified Ceratobasidium,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp.,Ceratobasidium sp. 379 v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,unclassified Ceratobasidium,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp.,Ceratobasidium sp. 394 v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,unclassified Ceratobasidium,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp.,Ceratobasidium sp. 395 v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,unclassified Ceratobasidium,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp.,Ceratobasidium sp. 423 v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,unclassified Ceratobasidium,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp.,Ceratobasidium sp. anastomosis group I; DN8442 v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Dacrymycetes,,Dacrymycetales,Dacrymycetaceae,Dacrymyces,Dacrymyces ceraceus,Cerinomyces ceraceus ATCC 56525 v1.0,No,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Dacrymycetes,,Dacrymycetales,Cerinomycetaceae,Cerinomyces,Cerinomyces crustulinus,Cerinomyces crustulinus OMC1686 v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes incertae sedis,Polyporales,Irpicaceae,Ceriporia,Ceriporia viridans,Ceriporia viridans OMC1683 v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes incertae sedis,Polyporales,Gelatoporiaceae,,Gelatoporia,Ceriporiopsis (Gelatoporia) subvermispora B,No,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes incertae sedis,Polyporales,Cerrenaceae,Cerrena,Cerrena unicolor,Cerrena unicolor v1.1,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Boletales,Boletaceae,Chalciporus,Chalciporus piperatus,Chalciporus piperatus 201810 CP v1.0,Yes,Agaricomycetidae,Boletineae,Chalciporoideae,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Pucciniomycotina,Agaricostilbomycetes,,Agaricostilbales,Chionosphaeraceae,Chionosphaera,Chionosphaera apobasidialis,Chionosphaera apobasidialis 52639 v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Pucciniomycotina,Agaricostilbomycetes,,Agaricostilbales,Chionosphaeraceae,Chionosphaera,Chionosphaera cuniculicola,Chionosphaera cuniculicola CBS10063 v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Boletales,Boletaceae,Chiua,Chiua virens,Chiua virens LA06,Yes,Agaricomycetidae,Boletineae,Zangioideae,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Cyphellaceae,Chondrostereum,Chondrostereum purpureum,Chondrostereum purpureum OMC1767 v1.0,Yes,Agaricomycetidae,Marasmiineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Boletales,Gomphidiaceae,Chroogomphus,Chroogomphus vinicolor,Chroogomphus vinicolor CA002 v1.0,Yes,Agaricomycetidae,Suillineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,unclassified Clavogaster,Agaricales,Agaricaceae,Clavogaster,Clavogaster sp.,Clavogaster sp. whakapapa MYCOTA032 v1.0,Yes,Agaricomycetidae,Agaricineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Agaricaceae,Clavogaster,Clavogaster virescens,Clavogaster virescens MYCOTA036 v1.0,Yes,Agaricomycetidae,Agaricineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Polyporales incertae sedis,Polyporales,,Climacocystis,Climacocystis borealis,Climacocystis borealis CliBor001 v1.0,Yes,,,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Tricholomatineae incertae sedis,Agaricales,,Infundibulicybe,Infundibulicybe gibba,Clitocybe gibba IJFM A808 v1.0,No,Agaricomycetidae,Tricholomatineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,unclassified Clitocybe,Agaricales,Clitocybaceae,Clitocybe,Clitocybe sp.,Clitocybe sp. JGI1119283 v1.0,Yes,Agaricomycetidae,Tricholomatineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Boletales,Coniophoraceae,Coniophora,Coniophora olivacea,Coniophora olivacea MUCL 20566 v1.0,Yes,Agaricomycetidae,Coniophorineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Boletales,Coniophoraceae,Coniophora,Coniophora puteana,Coniophora puteana v1.0,Yes,Agaricomycetidae,Coniophorineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Bolbitiaceae,Conocybe,Conocybe apala,Conocybe apala SZMC-NL-8967 v1.0,Yes,Agaricomycetidae,Agaricineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Psathyrellaceae,Ephemerocybe,Ephemerocybe angulata,Coprinellus angulatus CBS 144469 v1.0,No,Agaricomycetidae,Agaricineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus micaceus,Coprinellus micaceus FP101781 v2.0,Yes,Agaricomycetidae,Agaricineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Psathyrellaceae,Ephemerocybe,Ephemerocybe pellucida,Coprinellus pellucidus v1.0,No,Agaricomycetidae,Agaricineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis cinerea,Coprinopsis cinerea,Yes,Agaricomycetidae,Agaricineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis cinerea,Coprinopsis cinerea AmutBmut pab1-1 v1.0,Yes,Agaricomycetidae,Agaricineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis cinerea,Coprinopsis cinerea AmutBmut v2,Yes,Agaricomycetidae,Agaricineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis marcescibilis,Coprinopsis marcescibilis CBS121175 v1.0,Yes,Agaricomycetidae,Agaricineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis sclerotiger,Coprinopsis sclerotiger v1.0,Yes,Agaricomycetidae,Agaricineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,unclassified Coprinopsis,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis sp.,Coprinopsis sp. MPI-PUGE-AT-0042 v1.0,Yes,Agaricomycetidae,Agaricineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Cortinariaceae,Cortinarius,Cortinarius abnormis,Cortinarius abnormis TAS10R v1.0,Yes,Agaricomycetidae,Agaricineae,,,,,,,
cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,,Agaricales,Cortinariaceae,,Cortinarius,Cortinarius aff. campbellae TAS5-PSC4363 v1.0,Genus_Search,Agaricomycetidae,Agaricineae,,,,,,,
